一级模块,二级模块,三级模块,四级模块,五级模块,功能点名称
大模型MaaS门户,首页,用户登录,,,用户注册信息
大模型MaaS门户,首页,用户登录,,,用户登录信息
大模型MaaS门户,首页,用户登录,,,用户登录
大模型MaaS门户,首页,用户登录,,,第三方登录（微信）
大模型MaaS门户,首页,首页展示,,,邮件信息查看
大模型MaaS门户,首页,首页展示,,,邮件信息提醒
大模型MaaS门户,首页,首页展示,,,首页专题导航
大模型MaaS门户,首页,首页展示,,,用户登录信息查看
大模型MaaS门户,首页,首页展示,,,页面菜单设置
大模型MaaS门户,首页,模型应用,模型分类,,首页模型分类信息
大模型MaaS门户,首页,模型应用,模型分类,,首页模型分类展示
大模型MaaS门户,首页,模型应用,模型分类,,首页模型分类新增
大模型MaaS门户,首页,模型应用,模型分类,,首页模型分类修改
大模型MaaS门户,首页,模型应用,模型分类,,首页模型分类删除
大模型MaaS门户,首页,模型应用,模型详情,,首页模型详情信息
大模型MaaS门户,首页,模型应用,模型详情,,首页模型详情展示
